Это группа;Наименование;Код;Тип склада;Комментарий
Да;ГСМ по картам (АУП);00-000067;;
Нет;199-ГСМ+ТМЦ Соболь 199 -(Т.К.№ 757156) вирт. Х.В.В;БП-000150;Оптовый склад;
Нет;795-ТАКОМА-ГСМ Коробейников КЛ (11173);00-000061;Оптовый склад;
Нет;ГСМ КУЛЕШ М (222795)+ВИРТУАЛЬН.5375;00-000059;Оптовый склад;
Нет;ГСМ Михайлов АА (222803)Пахомов;00-000060;Оптовый склад;
Нет;ГСМ Пахомов (222803)/с 01.07.2023;БП-000147;Оптовый склад;
Нет;ГСМ служебный L 200 (ТК №169090);00-000082;Оптовый склад;
Нет;ГСМ Соболь -(Т.К.№ 255375) вирт/ +запчасти кмв;БП-000144;Оптовый склад;кмв
Нет;служебный L 200 /собств.(ГСМ+Запчасти);БП-000151;Оптовый склад;
Да;ГСМ Транспортные средства;00-000114;;
Да;Аренндованная спец. Техника;БП-000157;;
Нет;076 Е НС миксер МАЗ/арендован;БП-000155;Оптовый склад;
Нет;2140- Каток SAKAI TW500W ;БП-000142;Оптовый склад;
Нет;216 В3 CATERPILAR;БП-000163;Оптовый склад;
Нет;447 М-ВА 138 Тойота ленд крузер 150;БП-000164;Оптовый склад;
Нет;4479- Бульдозер Shantyu;БП-000146;Оптовый склад;
Нет;484 Кан борт HOWO ;БП-000140;Оптовый склад;
Нет;546 С 193 ВТ автовышка/арендован;БП-000154;Оптовый склад;
Нет;5552-КАТО;00-000132;Оптовый склад;
Нет;6994- Каток SAKAI TW41;БП-000145;Оптовый склад;
Нет;6995- Асфальтоуклвдчик ;БП-000162;Оптовый склад;
Нет;847 С 123 СО авто кран Камаз/арендован;БП-000153;Оптовый склад;
Нет;9307-Экскав. Хёндай 200 ;БП-000139;Оптовый склад;собств ТИ в аренду УПБ-усл всэс
Нет;9324-SMART 350 min-(Т.К- 4507);БП-000143;Оптовый склад;
Нет;058 А ВЕ авто кран МАЗ;00-000111;Оптовый склад;
Нет;226 А ВЕ авто кран КАМАЗ 70;00-000112;Оптовый склад;
Нет;Прицеп Аляска ;00-000120;Оптовый склад;
Нет;Хлебников ГСМ и зап.части;00-000131;Оптовый склад;
Да;Игирма;00-000044;;
Нет;Игирма;00-000013;Оптовый склад;
Нет;Игирма (раст компенсаторов);00-000050;Оптовый склад;
Нет;Игирма больница;00-000051;Оптовый склад;
Нет;Игирма Инвест котлы СЭЛ;00-000088;Оптовый склад;
