Основной;Наименование;Код;Тип склада;Тип цен розничной торговли;Комментарий
Нет;Транспортные средства;БП-000012;;;
Нет;ОП Киренск ТС;БП-000029;;;
Нет;013-Шакман/Киренск ПБ-рпк;БП-000036;Оптовый склад;;
Нет;0611-погрузчик/Киренск ПБ;БП-000038;Оптовый склад;;
Нет;0620-погрузчик/Киренск ЛБ;БП-000026;Оптовый склад;;
Нет;1924 АК-погрузчик/Киренск Мельничный;БП-000021;Оптовый склад;;
Нет;336-Краз миксер/Киренск;БП-000017;Оптовый склад;;
Нет;674-Шакман/Киренск ПБ;БП-000018;Оптовый склад;;
Нет;688 Т-МК - FAW J6 самосвал - ПБ;БП-000034;Оптовый склад;;
Нет;6927 РК-погрузчик/Киренск ПБ (аренд.КТР);БП-000037;Оптовый склад;;
Нет;781-Шакман/Киренск ПБ;БП-000019;Оптовый склад;;
Нет;ОП Усть Кут /Т.С;БП-000027;;;
Нет;2237-АУ- полуприцеп;БП-000035;Оптовый склад;;
Нет;308 О ЕА138- МАЗ;БП-000025;Оптовый склад;;
Нет;398 О ЕА138- МАЗ;БП-000024;Оптовый склад;;
Нет;633 С АС138-Шакман;БП-000023;Оптовый склад;;
Нет;658 ХОВО КОВАЛЬКОВ;БП-000031;Оптовый склад;;
Нет;7960АА -Погрузчик LW300;БП-000022;Оптовый склад;;
Нет;980 Т КЕ138-Шакман;БП-000013;Оптовый склад;;
Нет;Погрузчик-вил;БП-000032;Оптовый склад;;
Нет;L200 -V Diesel NP 2.4 (B920HX138)/аренда ВСЭС;БП-000020;Оптовый склад;;
Нет;Администрация;00-000005;Оптовый склад;;
Нет;Киренск Мельничный;00-000006;Оптовый склад;;
Нет;Киренск ПБ;БП-000033;Оптовый склад;;
Нет;Киренск ПБ с.Кривошапкино;БП-000030;Оптовый склад;;
Нет;Новая Игирма;00-000004;Оптовый склад;;
Нет;Основной;00-000007;Оптовый склад;;
Нет;Усть-Кут;00-000001;Оптовый склад;;КТР-3818029213/381845002, 666785, Иркутская область, г. Усть-Кут, ул Коммунальная 15
Нет;Усть-Кут гостин;БП-000015;Оптовый склад;;КТР-3818029213/381845002, 666785, Иркутская область, г. Усть-Кут, ул Коммунальная 15
Нет;Усть-Кут рем цехов;БП-000016;Оптовый склад;;
Нет;Янталь;00-000002;Оптовый склад;;
